titre,description,ville,type_bien,etage,prix,surface,pieces,DPE,full_description,lien
Vente Maison 147 m² Saint-Genis-Les-Ollieres,"Pavillon de 147m2 avec piscine, 4 chambres, grande piece de vie de 61m2 exposée sud ouest",Saint-Genis-Les-Ollieres,Maison,4,475000,147.0,6,C,"L’agence Valdor a le plaisir de vous présenter une maison de standing (construction en 2001) d’environ 150 m² habitables, idéalement située dans un quartier résidentiel recherché et particulièrement paisible de Saint-Genis-les-Ollières.

Cette maison est située au sein d’un lotissement entièrement clos et sécurisé, bénéficiant d’un système de vidéosurveillance et d’un portail électrique à l’entrée. Anciennement le bâtiment central d’un club de vacances (en effet il y avait un village vacances à Saint-Genis les Ollières il y a plus de 10 ans), il a conservé son caractère unique et ses volumes généreux. Aujourd’hui, la piscine ainsi que les espaces extérieurs attenants sont privatifs, parfaitement clos, à l’abri des regards et idéalement exposés au sud-ouest.

Dès l’entrée, vous serez immédiatement séduit par les volumes exceptionnels de la pièce de vie de plus de 60 m². Cet espace accueille une cuisine ouverte, moderne et design, baignée de lumière grâce aux larges baies vitrées offrant une vue dégagée et un accès direct au jardin.

En souplex, une pièce secrète et pleine de potentiel vient compléter ce bien. Elle pourra aisément accueillir une salle de cinéma (ou playstation), un espace de jeux ou encore une salle de sport, d’autant qu’un revêtement acoustique au sol est déjà installé

L’espace nuit se compose de quatre chambres.
Deux chambres d’enfants, chacune équipée de grands placards de qualité réalisés sur mesure, bénéficient d’un accès direct au jardin. La suite parentale bénéficie d’un accès direct au jardin et dispose de sa propre salle d’eau, élégamment aménagée avec double vasque et habillage en travertin au sol comme aux murs.
Une quatrième chambre, également équipée d’un grand placard sur mesure, vient compléter cet espace nuit. On y retrouve également une salle de bain commune ainsi que deux toilettes et une buanderie.

En termes d’équipements, cette maison offre des prestations complètes et de qualité :
- Volets roulants motorisés sur l’ensemble des fenêtres,
- Menuiseries en bois double vitrage,
- Panneaux solaires haut de gamme (EDF ENR),
- Chauffage au sol et plancher rafraîchissant dans le séjour (PAC air/eau),
- Adoucisseur d’eau,
- Piscine au sel chauffée (PAC secondaire),
- Prise individuelle pour la recharge de véhicule électrique,
- Sous-sol de plus de 100 m² dédié au stockage, avec la possibilité de louer tout ou partie de l’espace grâce à un accès indépendant,
- Deux places de stationnement extérieures privatives.
- système son intégré au plafond (séjour, chambre parentale, salle de bain) 

Contactez dès maintenant Flavien COTTANCIN au O6 89 63 42 88 pour organiser une visite. RSAC 839 127 545 - Responsabilité Civile Professionnelle n° RD01686968W. Les informations relatives aux risques naturels sont disponibles sur http://www.georisques.gouv.fr
Charges mensuelles de copropriété pour un montant de 305€. Pas de procédure en cours.",https://www.etreproprio.com/immobilier-24222330-vente-pavillon-de-147m2-avec-piscine-4-chambres-grande-piece-de-vie-de-61m2-exposee-sud-ouest-saint-genis-les-ollieres
Vente Appartement 119 m² Lyon-6e,Appartement 119 m² à Lyon-6e,Lyon-6e,Appartement,3,555000,119.0,5,C,"Lyon 6, Halles Paul Bocuse, appartement familial T4 de 119,20 m² situé au 3ème étage d'un immeuble de standing de 5 étages avec ascenseur. Ce bien offre un espace de vie généreux et une vue dégagée qui vous charmeront dès le premier regard. 
Imaginez-vous dans un séjour spacieux de 44 m² baigné de lumière naturelle, parfait pour des moments conviviaux en famille ou entre amis. La cuisine américaine aménagée et équipée, ouverte sur le séjour, est un véritable atout pour les amateurs de cuisine et de vie sociale. De plus, le balcon de 7 m² permet un espace dinatoire, idéal pour profiter pleinement de l'extérieur sans vis-à-vis direct. 
Les trois chambres, dont une suite parentale, vous offriront un havre de paix et de tranquillité. Cet appartement dispose également d'un bureau, d'un espace buanderie, d'une salle de bains, d'une salle d'eau et de deux WC.
Un garage fermé (avec prise électrique) est proposé en SUS du prix à 40 000 .
Bien que quelques petits travaux de rafraîchissement soient à prévoir, cet appartement représente une opportunité exceptionnelle pour ceux qui cherchent un espace spacieux et lumineux dans un cadre de vie agréable.
À quelques minutes à pied, vous trouverez plusieurs commerces de proximité, des écoles (Ecole élémentaire publique Jean Jaurès) et des transports en commun (TB11, C13, C23). Accès gare Part-Dieu en 15min à pied ou bus direct. 
Camille NANTERME César&Brutus [Coordonnées masquées] / [Coordonnées masquées]
REF : CN-9498-1

Honoraires à la charge du vendeur.  Dans une copropriété de 48 lots. Aucune procédure n'est en cours. Classe énergie C, Classe climat A Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 1554.00 et 2104.00 . Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr.",https://www.etreproprio.com/immobilier-25292395-vente-appartement-119-m-a-lyon-6e-lyon-6e
Vente Appartement 23 m² Lyon-2e,Investissement en residence étudiante,Lyon-2e,Appartement,5,141474,23.0,1,D,"Simplicité et Tranquillité de votre investissement avec bail  Opportunité d’Investissement locatif en Résidence Etudiante Cet appartement est un investissement . Pas d’occupation pour soi-même ou ses enfants. Investissez sereinement dans un bien immobilier étudiant en bénéficiant d’un loyer sécurisé par un bail commercial en délégant totalement la gestion de votre bien. Idéal pour vous constituer ou valoriser un patrimoine et vous créer un complément de revenus. Avantage fiscal du LMNP : pas d’impôt sur les loyers perçus !   Residence ODALYS CAMPUS CONFLUENCE  7, cours Bayard - 69002 LYON https://www.odalys-campus.com/residences/une-residence-pour-etudiants-a-lyon-odalys-campus-confluence/   Studio meublé de 23.15 m2 au 5E etage Prix de vente : 141 474€ Loyer annuel perçu :  6 225€ Charges annuelles : 315€ Taxe foncière : 393€ Exploitant : ODALYS CAMPUS   Bail en cours 09/2034 Idéal pour un Investisseur souhaitant :un revenu locatif stable et sécurisé,un placement immobilier sans gestion,un complément de revenus défiscalisé grâce au statut LMNP. Contact :  Benoit GENTILINI   Conseiller en investissements LMNP  APOGEE PATRIMOINE  www.apogeepatrimoine.com",https://www.etreproprio.com/immobilier-25284105-vente-investissement-en-residence-etudiante-lyon-2e
Vente Appartement 60 m² Lyon-4e,Appartement avec vue sur le Rhône ! Proche Tête d'Or !,Lyon-4e,Appartement,1,227000,60.0,3,D,"LYON 4e – Cours d'Herbouville face au Parc de la Tête d'Or - venez découvrir ce charmant appartement T3 de 57,75m² carrez (60.26m² au sol) situé au premier étage d'un immeuble de bonne facture, calme, sécurisé, bien entretenu et avec ascenseur.
Cet appartement offre une entrée donnant sur un beau séjour de 22m², un espace cuisine, deux chambres, une salle de bain ainsi qu'un WC indépendant. Des rangements complètent le logement.
Vous apprécierez l'emplacement, la vue imprenable sur le Rhône depuis le séjour, l'exposition Est, le charme de l'ancien et les volumes, la belle hauteur sous plafond, l'absence de vis-à-vis.
Ce bel appartement ne vous laissera pas indifférent et offrira à ses occupants un écrin de bien-être et de sérénité, à quelques pas de la vie animée de la Croix-Rousse, du Parc de la Tête d'Or, de la Cité Internationale, du 6ème arrondissement et de la Presqu'île.
Idéal pour une famille avec des enfants de tous âges, ou pour des investisseurs.
A deux pas du Parc de la Tête d'Or, écoles, commerces et transports à proximité immédiate !

Visite virtuelle disponible.
Référence agence : 527",https://www.etreproprio.com/immobilier-25285327-vente-appartement-avec-vue-sur-le-rhone-proche-tete-d-or-lyon-4e
Vente Appartement 121 m² Villeurbanne,Appartement 121 m² à Villeurbanne,Villeurbanne,Appartement,,430000,121.0,5,,"VILLEURBANNE - PLACE MARENGO

Appartement duplex en dernière étage avec vue 180° sur la tour du crayon, grand T5 lumineux dans une rue au calme dans résidence sécurisée comprenant une entrée,  un double séjour lumineux avec cuisine aménagée et équipée.3 grandes chambres dont une avec terrasse tropézienne, une buanderie, 2 w.c, une s.d.b.
Proximité toutes commodités.
Cave et gare en sus.

Visite virtuelle disponible sur notre site.
Yoni CHEKROUN [Coordonnées masquées]

Honoraires à la charge du vendeur.  Dans une copropriété de 130 lots. Aucune procédure n'est en cours. DPE en cours. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr.",https://www.etreproprio.com/immobilier-25076126-vente-appartement-121-m-a-villeurbanne-villeurbanne
Vente Appartement 61 m² Caluire-Et-Cuire,Superbe T3 61m² / Caluire / Quai de Saône / Chemin de Fond Rose,Caluire-Et-Cuire,Appartement,0,305000,61.0,3,D,"Superbe T3 61m² / Caluire / Quai de Saône / Chemin de Fond Rose
Appartement lumineux et confortable, idéal pour une vie de famille ou primo-accédants à Caluire-et-Cuire

Dans un environnement résidentiel recherché de Caluire-et-Cuire (Fond Rose), découvrez cet appartement situé au 2ᵉ étage sans ascenseur, offrant une atmosphère chaleureuse et un agencement pensé pour le quotidien.

Le séjour donnant sur une belle salle à manger, baigné de lumière grâce à une belle exposition, constitue un véritable espace de vie convivial. Il s'ouvre sur une porte fenêtre avec balconnet, agréable pour profiter des beaux jours. L'appartement dispose d'une cuisine indépendante & fonctionnelle, de deux chambres (9m² chacune), idéales pour une famille ou pour aménager un espace bureau, d'une salle de bains et un WC séparé.

Ce bien est en très bon état (rénovation 2017) garantissant confort et sérénité dès l'emménagement.

Une cave/cellier en rez de chaussée de plus de 12m² vient compléter ce bien (stationnement 2 roues motorisés, vélos ou petit véhicule possible).
Possibilité d'acquérir un garage de 13m² (avec rangements en mezzanine) en sus dans la résidence (20 000 €) , un atout indéniable pour le stationnement et l'organisation de votre future logement.

La copropriété est équipée d'une aire de jeux, cet appartement représente une opportunité idéale pour des primo-accédants ou une famille souhaitant s'installer dans un secteur dynamique et apprécié, alliant qualité de vie et praticité.

Accès immédiat TCL (ligne 40) sur le Quai.

A visiter de toute urgence ...
Référence agence : 566",https://www.etreproprio.com/immobilier-25285321-vente-superbe-t3-61m-caluire-quai-de-saone-chemin-de-fond-rose-caluire-et-cuire
Vente Appartement 18 m² Lyon-5e,Appartement 18 m² à Lyon-5e,Lyon-5e,Appartement,,144000,18.0,1,E,"LYON 05 - local commercial à usage locatif saisonnier et courte durée

Dans un immeuble du 17ème siècle au charme de l'ancien, local commercial entièrement transformé et rénové avec goût dédié à un usage locatif saisonnier et courte durée.

Ce bien se compose d'une entrée sur séjour, d'un coin kitchenette aménagée et équipée, semi-ouverte avec desserte bar. Une belle salle de bain complète cet espace.

Appartement en location courte durée avec 18 362  de revenus locatifs annuels brut pour 2024 (12,75% de valeur locative).
DPE E (297) - B  (9)  - Chauffage électrique
Taxe foncière 2024 : 329 
Charges de copro : 1000 /AN

Il y a des établissements secondaires à moins de 10 minutes à pied,  tout comme une établissement du supérieur dans les alentours : l'École catholique des arts et métiers. ôté transports, on trouve 13 lignes de bus, la gare Lyon Saint-Paul ainsi que la station de métro Vieux Lyon (ligne D). 

Découvrez toutes les originalités de cet appartement en vente en prenant RDV avec votre agence immobilière CESAR ET BRUTUS

Guillaume DEHAY
Agent immobilier  RSAC Lyon : 890 054 067
[Coordonnées masquées]  [Coordonnées masquées]
REF : GDE-7590-1

Honoraires à la charge du vendeur.  Dans une copropriété de 17 lots. Quote-part moyenne du budget prévisionnel 1 000 /an. Aucune procédure n'est en cours. Classe énergie E, Classe climat B. Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : 392.00 . Date de réalisation du DPE : 24-06-2011. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr.",https://www.etreproprio.com/immobilier-25292401-vente-appartement-18-m-a-lyon-5e-lyon-5e
Vente Appartement 118 m² Lyon-6e,"TRIANGLE D'OR - T4 de 118 m2 en étage élevé avec terrasse, cave et garage",Lyon-6e,Appartement,,940000,118.0,4,D,"TRIANGLE D'OR - En étage élevé d'une résidence réputée et sécurisée, à seulement quelques pas de l'entrée principale du Parc de la Tête d'Or et de la Presqu'Ile, nous vous proposons un magnifique appartement traversant et sans vis-à-vis, intégralement repensé par architecte avec des prestations haut de gamme et des matériaux de qualité, d'une surface de 118 m2 avec une terrasse de 15 m2 bénéficiant d'une vue splendide sur le Rhône et les quais.  Une entrée spacieuse avec vestiaire distribuera d'une part les pièces de jour : un vaste séjour avec parquet en chêne massif baigné de lumière grâce à ses 2 grandes ouvertures coulissantes à l'Ouest permettant l'accès sur la terrasse. La cuisine est indépendante, équipée et aménagée avec de nombreux éléments et profite d'un plan de travail en pierre et d'un espace repas.   D'autre part, l'espace nuit est bien dissocié :  on y retrouve une vaste suite parentale avec dressing sur mesure et une salle d'eau, puis deux chambres supplémentaires avec rangements, une salle de bains, une buanderie et un toilette séparé.   L'appartement est entièrement climatisé, équipé de fenêtres double vitrage et de volets motorisés.   Charges annuelles de 4600  euros comprenant eau chaude, eau froide, chauffage, gardien. Immeuble sur son terrain.   Une cave de 10 m2 aménagée complète cette vente. Possibilité d'acquérir un garage fermé dans la résidence en sus du prix d'un montant de 60.000  euros.   Contact : G. GERMAIN Copropriété de 36 lots.  Charges annuelles : 4600  euros.",https://www.etreproprio.com/immobilier-25287864-vente-triangle-d-or-t4-de-118-m2-en-etage-eleve-avec-terrasse-cave-et-garage-lyon-6e
Vente Maison 97 m² Condrieu,Maison 97 m² à Condrieu,Condrieu,Maison,0,165000,97.0,7,E,"Iad France - Jean-Marie Lefebvre vous propose : EXCLUSIVITE Condrieu centre maison de village à rénover d'une surface totale de 85 m² par niveau soit 190 m² en tout. À ce jour, cette maison de village est composée d'un hall d'entrée, cuisine / séjour, salon, buanderie / chaufferie, salle d'eau, toilettes et garage à vélo ou stockage au rez de chaussée. À l'étage six chambres et toilettes. Chauffage central au gaz de ville, chaudière FRISQUET neuve à condensation. Cave voutée. Tout à l'égout. Prévoir budget de rénovation et remise aux normes. Honoraires d'agence à la charge du vendeur. Information d'affichage énergétique sur ce bien : classe ENERGIE E indice 284 et classe CLIMAT E indice 61. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M Jean-Marie Lefebvre mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de LYON sous le numéro 495390916, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.Informations LOI ALUR :  Honoraires charge vendeur. (gedeon_6727_32892215)",https://www.etreproprio.com/immobilier-25290869-vente-maison-97-m-a-condrieu-condrieu
Vente Appartement 85 m² Lyon-7e,Appartement 85 m² à Lyon-7e,Lyon-7e,Appartement,5,425000,85.0,4,C,"EXCLUSIVITÉ : VISITE VIRTUELLE VIDÉO DISPONIBLE SUR NOTRE SITE WEB ET SUR INSTAGRAM @justine_pourquoipasvous


POURQUOI PAS devenir propriétaire d'un appartement familial traversant avec balcon et garage, à 2 pas du Parc Blandan, dans le 7e arrondissement de Lyon ?

Un T4 lumineux et fonctionnel, situé au 5e étage avec ascenseur, offrant de beaux volumes et une organisation idéale entre espaces jour et nuit, parfait pour une résidence principale.


Disposition : Entrée ouvrant sur 1 grande pièce de vie comprenant 1 cuisine ouverte avec îlot central et table intégrée, salon avec accès au balcon, 3 chambres dont 2 au calme côté cour avec placards, 1 salle de bains et 1 WC indépendant.

Les +




- Localisation idéal à 2 pas du Parc Blandan

- Copropriété des années 1990, calme et bien entretenue sans travaux à venir

- Étage élevé : 5? sur 7 avec ascenseur

- Appartement rénové en 2022

- Balcon de 6 m²

- Belle luminosité grâce aux grandes ouvertures

- Traversant Nord / Sud

- Bonne séparation des espaces jour / nuit 

- Pièce de vie agréable de 38m2

- 3 grandes chambres dont 2 côté cour


- 1 cave

- Bon DPE C

Commerces, transport et commodités à proximité immédiate

Garage fermé en sous-sol disponible en sus

Charges mensuelles de copropriété de 121
Taxe foncière annuelle de 1 290
Charges mensuelles d'énergie de 120

Un appartement prêt à vivre, lumineux et bien agencé, idéal pour une vie de famille !

Vous souhaitez en savoir plus et organiser une visite ?

Justine
[Coordonnées masquées]
@justine_pourquoipasvous

POURQUOI PAS VOUS



Honoraires à la charge du vendeur.  Dans une copropriété de 95 lots. Aucune procédure n'est en cours. Classe énergie C, Classe climat A. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr. 

Votre conseiller Pourquoi Pas Vous Immobilier : Justine MICHEL
Agent commercial (Entreprise individuelle).
Visite virtuelle disponible sur le compte INSTAGRAM @pourquoi_pas_vous_immo",https://www.etreproprio.com/immobilier-25289884-vente-appartement-85-m-a-lyon-7e-lyon-7e
