type_bien,pieces,prix,surface,etage,ville,code_postal
appartement,2.0,270000.0,48.4,1,chasselay,69380
appartement,2.0,320000.0,52.7,4,lyon,69008
appartement,3.0,179000.0,70.1,4,lyon,69009
appartement,4.0,395000.0,112.6,7,lyon,69005
appartement,4.0,293000.0,78.0,9,rillieux la pape,69140
appartement,5.0,130000.0,89.2,10,vaulx en velin,69120
maison,4.0,410000.0,88.0,MAISON,écully,69130
maison,4.0,698000.0,87.0,MAISON,saint genis laval,69230
appartement,2.0,295000.0,58.5,2,lyon,69002
appartement,2.0,267000.0,49.0,2,lyon,69110
appartement,2.0,300000.0,62.0,1,lyon,69001
appartement,3.0,272896.0,59.0,1,lyon,69001
appartement,3.0,163000.0,62.0,2,lyon,69009
appartement,3.0,289000.0,66.0,1,saint priest,69800
appartement,3.0,310000.0,78.0,RDC,caluire et cuire,69300
appartement,3.0,305000.0,72.0,1,decines charpieu,69150
appartement,3.0,308000.0,65.0,4,venissieux,69200
appartement,3.0,230000.0,73.0,1,lyon,69110
appartement,3.0,250000.0,63.0,1,villeurbanne,69100
appartement,4.0,419000.0,85.0,1,francheville,69340
appartement,4.0,499000.0,111.0,1,lyon,69007
appartement,4.0,445000.0,86.5,RDC,charbonnieres les bains,69260
appartement,4.0,219000.0,76.0,2,venissieux,69200
appartement,4.0,520000.0,104.0,2,lyon,69007
appartement,4.0,293820.0,79.2,1,villeurbanne,69100
appartement,4.0,232000.0,78.0,RDC,bron,69500
appartement,4.0,315000.0,83.0,4,saint genis laval,69230
appartement,4.0,349000.0,80.0,1,lyon,69008
appartement,4.0,440000.0,105.0,3,craponne,69290
appartement,5.0,470000.0,117.0,4,caluire et cuire,69300
maison,5.0,369000.0,100.0,MAISON,chaussan,69440
maison,5.0,370000.0,95.5,MAISON,anse,69480
maison,5.0,430000.0,137.5,MAISON,theize,69620
maison,5.0,499000.0,125.0,MAISON,decines charpieu,69150
maison,6.0,549000.0,170.0,MAISON,lentilly,69210
maison,6.0,700000.0,133.0,MAISON,dardilly,69570
maison,6.0,785000.0,180.0,MAISON,saint cyr au mont d'or,69450
maison,7.0,1780000.0,319.0,MAISON,charbonnieres les bains,69260
maison,8.0,525000.0,197.0,MAISON,mornant,69440
maison,10.0,2590000.0,420.0,MAISON,saint cyr au mont d'or,69450
appartement,2.0,310000.0,43.6,RDC,caluire et cuire,69300
appartement,2.0,260000.0,47.2,7,lyon,69001
appartement,3.0,369000.0,67.5,1,chasselay,69380
appartement,4.0,335000.0,150.0,2,lissieu,69380
appartement,4.0,395000.0,90.8,1,vernay,69300
appartement,4.0,1300000.0,168.9,2,saint didier au mont d'or,69370
maison,3.0,210000.0,82.0,MAISON,cours,69470
maison,6.0,880000.0,222.4,MAISON,morance,69480
appartement,2.0,220000.0,46.6,1,lyon,69003
appartement,2.0,210000.0,40.0,1,saint pierre de chandieu,69780
appartement,3.0,288000.0,67.0,1,brindas,69126
appartement,3.0,282000.0,76.0,3,lyon,69007
appartement,3.0,268000.0,61.0,1,rillieux la pape,69140
appartement,3.0,325000.0,65.0,2,francheville,69340
appartement,3.0,322000.0,62.1,1,genas,69740
appartement,4.0,487000.0,95.3,4,villeurbanne,69100
appartement,4.0,501000.0,75.0,10,lyon,69007
appartement,4.0,455000.0,96.0,3,lyon,69004
appartement,4.0,332900.0,81.2,7,venissieux,69200
appartement,4.0,539500.0,90.0,1,villeurbanne,69100
appartement,4.0,199900.0,70.0,1,oullins pierre benite,69600
appartement,4.0,300000.0,96.0,5,lyon,69009
maison,4.0,305000.0,90.0,MAISON,chazay d'azergues,69380
maison,4.0,290000.0,95.0,MAISON,vindry sur turdine,69490
maison,5.0,335000.0,90.0,MAISON,saint fons,69190
maison,5.0,629000.0,160.0,MAISON,meyzieu,69330
maison,5.0,450000.0,130.0,MAISON,rillieux la pape,69140
maison,5.0,1390000.0,220.3,MAISON,chaponost,69630
maison,6.0,475000.0,167.0,MAISON,ville sur jarnioux,69640
appartement,2.0,179000.0,50.9,RDC,millery,69390
appartement,2.0,199000.0,35.0,RDC,tassin la demi lune,69160
appartement,3.0,295000.0,63.1,1,montagny,69700
appartement,3.0,298000.0,94.3,4,lyon,69110
appartement,5.0,852500.0,94.3,8,lyon,69006
appartement,6.0,427000.0,130.3,RDC,dardilly,69570
maison,3.0,235000.0,65.0,MAISON,grigny sur rhone,69520
maison,4.0,379000.0,115.0,MAISON,lissieu,69380
maison,5.0,346130.0,106.8,MAISON,ternay,69360
appartement,2.0,329000.0,55.0,1,lyon,69006
appartement,2.0,185000.0,28.0,6,lyon,69001
appartement,3.0,291200.0,65.8,1,lyon,69007
appartement,3.0,190000.0,52.7,RDC,tassin la demi lune,69160
appartement,3.0,170000.0,53.0,RDC,saint genis laval,69230
appartement,3.0,375000.0,60.1,4,lyon,69002
appartement,4.0,384800.0,81.0,3,corbas,69960
appartement,4.0,539500.0,90.0,4,villeurbanne,69100
appartement,4.0,610000.0,95.0,7,lyon,69002
appartement,4.0,455000.0,80.0,3,lyon,69002
appartement,4.0,658800.0,85.0,3,saint didier au mont d'or,69370
appartement,5.0,532500.0,82.0,RDC,tassin la demi lune,69160
appartement,5.0,339000.0,96.8,3,lyon,69110
maison,4.0,300000.0,94.0,MAISON,chaponnay,69970
maison,5.0,969000.0,181.0,MAISON,genas,69740
maison,6.0,898000.0,246.0,MAISON,francheville,69340
maison,6.0,865000.0,170.0,MAISON,villeurbanne,69100
appartement,2.0,189000.0,41.0,2,saint pierre de chandieu,69780
appartement,2.0,159000.0,28.0,1,oullins pierre benite,69600
appartement,2.0,255000.0,47.0,RDC,charly,69390
appartement,3.0,380000.0,66.8,6,lyon,69003
appartement,3.0,215000.0,58.5,9,caluire et cuire,69300
appartement,4.0,349000.0,115.0,1,poleymieux au mont d'or,69250
maison,4.0,340000.0,85.0,MAISON,decines charpieu,69150
maison,4.0,350000.0,80.0,MAISON,alix,69380
maison,5.0,349000.0,119.6,MAISON,feyzin,69320
maison,5.0,369000.0,90.0,MAISON,saint martin en haut,69850
appartement,2.0,395000.0,35.0,3,lyon,69005
appartement,3.0,333000.0,65.0,RDC,genas,69740
appartement,3.0,340000.0,68.0,3,villeurbanne,69100
appartement,3.0,430000.0,72.3,2,lyon,69009
appartement,3.0,369000.0,62.0,3,lyon,69003
appartement,3.0,369000.0,70.0,5,lyon,69002
appartement,3.0,259900.0,65.0,2,saint bonnet de mure,69720
appartement,4.0,348000.0,103.0,2,tassin la demi lune,69160
appartement,5.0,480000.0,123.0,5,écully,69130
appartement,5.0,374114.0,95.1,2,saint priest,69800
maison,5.0,290000.0,97.0,MAISON,belleville en beaujolais,69220
maison,5.0,579000.0,160.0,MAISON,chatillon,69380
maison,6.0,860000.0,168.0,MAISON,chazay d'azergues,69380
maison,6.0,600000.0,135.0,MAISON,écully,69130
maison,6.0,990000.0,262.0,MAISON,limas,69400
maison,6.0,395500.0,133.0,MAISON,venissieux,69200
maison,7.0,990000.0,220.0,MAISON,chaponost,69630
maison,7.0,949000.0,295.0,MAISON,villeurbanne,69100
maison,8.0,585000.0,190.0,MAISON,limas,69400
appartement,2.0,225000.0,55.0,2,craponne,69290
appartement,2.0,139000.0,40.0,RDC,meyzieu,69330
appartement,2.0,95000.0,28.0,1,val d'oingt,69620
appartement,2.0,199000.0,35.6,8,lyon,69004
appartement,3.0,162000.0,57.1,2,saint fons,69190
appartement,3.0,265000.0,63.0,2,lozanne,69380
appartement,3.0,141000.0,53.2,RDC,grigny sur rhone,69520
appartement,4.0,775000.0,108.0,3,saint cyr au mont d'or,69450
appartement,4.0,656000.0,110.0,3,francheville,69340
maison,5.0,450000.0,122.0,MAISON,porte des pierres dorees,69640
appartement,2.0,135000.0,31.0,1,bron,69500
appartement,2.0,250000.0,50.0,2,bron,69500
appartement,2.0,160000.0,40.0,1,rillieux la pape,69140
appartement,2.0,210000.0,41.0,1,neuville sur saone,69250
appartement,3.0,337000.0,69.0,4,lyon,69008
appartement,3.0,215000.0,65.0,RDC,pommiers,69480
appartement,4.0,269000.0,89.0,6,caluire et cuire,69300
appartement,4.0,349000.0,90.0,8,lyon,69003
appartement,4.0,229000.0,67.0,1,lyon,69008
appartement,4.0,329000.0,95.0,6,lyon,69110
appartement,4.0,269000.0,88.0,2,saint priest,69800
appartement,4.0,449000.0,75.1,3,lyon,69006
appartement,5.0,1150000.0,177.0,5,lyon,69006
appartement,5.0,635000.0,119.0,5,lyon,69009
appartement,5.0,750000.0,147.5,7,lyon,69002
appartement,6.0,599000.0,127.0,1,écully,69130
appartement,6.0,1295000.0,213.0,7,lyon,69008
appartement,6.0,900000.0,230.0,RDC,lyon,69001
maison,4.0,324000.0,94.0,MAISON,vindry sur turdine,69490
maison,5.0,760000.0,145.0,MAISON,chaponost,69630
maison,5.0,780000.0,175.0,MAISON,charly,69390
maison,6.0,695000.0,212.0,MAISON,rillieux la pape,69140
maison,6.0,675000.0,275.0,MAISON,la tour de salvagny,69890
maison,7.0,1090000.0,248.0,MAISON,lyon,69110
maison,8.0,820000.0,282.0,MAISON,dommartin,69380
maison,8.0,1130000.0,458.0,MAISON,saint laurent d'agny,69440
appartement,2.0,170000.0,35.0,RDC,saint genis laval,69230
appartement,3.0,169000.0,66.0,9,saint priest,69800
appartement,3.0,230000.0,78.7,5,lyon,69008
appartement,3.0,535000.0,87.0,8,lyon,69003
appartement,5.0,480000.0,215.0,RDC,grigny sur rhone,69520
appartement,5.0,549000.0,118.1,1,longes,69660
maison,4.0,270000.0,80.0,MAISON,drace,69220
maison,6.0,670000.0,191.9,MAISON,saint cyr au mont d'or,69450
appartement,3.0,199000.0,63.0,4,lyon,69009
appartement,3.0,290000.0,73.3,4,lyon,69008
appartement,3.0,400000.0,106.0,1,lyon,69005
appartement,3.0,199000.0,70.0,3,decines charpieu,69150
appartement,4.0,614000.0,99.0,1,écully,69130
appartement,4.0,324000.0,91.0,4,rillieux la pape,69140
appartement,4.0,175000.0,80.0,3,vaulx en velin,69120
appartement,4.0,300149.0,80.0,1,meyzieu,69330
maison,4.0,539000.0,120.0,MAISON,grigny sur rhone,69520
maison,4.0,271194.0,101.0,MAISON,venissieux,69200
maison,5.0,480000.0,112.0,MAISON,chassieu,69680
maison,5.0,440000.0,142.0,MAISON,saint cyr sur le rhone,69560
maison,5.0,390000.0,95.0,MAISON,vaulx en velin,69120
maison,5.0,339000.0,92.0,MAISON,craponne,69290
maison,6.0,1010000.0,180.0,MAISON,limonest,69760
maison,6.0,1220000.0,193.0,MAISON,fontaines sur saone,69270
maison,8.0,975000.0,225.0,MAISON,limonest,69760
maison,8.0,790000.0,205.0,MAISON,dardilly,69570
appartement,2.0,175000.0,44.3,RDC,rillieux la pape,69140
appartement,2.0,239000.0,47.3,3,lyon,69001
appartement,3.0,254000.0,59.4,1,chaponost,69630
appartement,4.0,290000.0,77.0,6,oullins pierre benite,69600
appartement,4.0,570000.0,117.4,RDC,lyon,69001
maison,4.0,271300.0,94.0,MAISON,lantignie,69430
maison,4.0,268000.0,92.0,MAISON,lamure sur azergues,69870
maison,4.0,225000.0,69.0,MAISON,valsonne,69170
maison,5.0,550000.0,130.9,MAISON,marennes,69970
maison,5.0,742000.0,130.6,MAISON,dardilly,69570
appartement,2.0,301000.0,55.0,6,villeurbanne,69100
appartement,2.0,175000.0,41.0,1,saint georges de reneins,69830
appartement,3.0,330000.0,82.0,3,tassin la demi lune,69160
appartement,3.0,200000.0,56.0,3,fontaines sur saone,69270
appartement,3.0,235000.0,58.0,RDC,venissieux,69200
appartement,3.0,365000.0,65.0,5,lyon,69007
appartement,3.0,299000.0,61.0,3,venissieux,69200
appartement,3.0,490000.0,99.0,2,lyon,69001
appartement,3.0,299000.0,66.0,7,lyon,69005
appartement,3.0,490000.0,108.0,2,lyon,69003
appartement,3.0,139000.0,64.0,1,gleize,69400
appartement,3.0,242500.0,57.0,4,lyon,69001
appartement,4.0,400000.0,97.0,1,lyon,69003
appartement,4.0,480000.0,85.0,RDC,villeurbanne,69100
appartement,4.0,495000.0,103.0,RDC,lyon,69004
appartement,4.0,329900.0,81.2,6,venissieux,69200
appartement,5.0,545000.0,145.0,3,craponne,69290
maison,4.0,337000.0,94.0,MAISON,chessy,69380
maison,5.0,635000.0,168.0,MAISON,chaponnay,69970
maison,5.0,635000.0,155.0,MAISON,irigny,69540
maison,6.0,469000.0,160.0,MAISON,gleize,69400
maison,7.0,770000.0,233.0,MAISON,la tour de salvagny,69890
appartement,2.0,177000.0,36.4,RDC,feyzin,69320
appartement,2.0,200000.0,40.2,RDC,lyon,69008
appartement,3.0,416000.0,63.7,8,lyon,69002
appartement,3.0,195000.0,53.2,1,decines charpieu,69150
appartement,3.0,215000.0,66.6,1,colombier saugnieu,69124
appartement,3.0,279000.0,81.0,12,lyon,69005
appartement,4.0,250000.0,98.0,RDC,saint germain au mont d'or,69650
appartement,5.0,788000.0,127.4,8,lyon,69008
appartement,2.0,275000.0,43.0,1,lyon,69002
appartement,3.0,173450.0,69.0,4,villeurbanne,69100
appartement,3.0,293000.0,55.0,1,meyzieu,69330
appartement,3.0,237200.0,61.0,1,corbas,69960
appartement,4.0,755000.0,134.0,1,lyon,69006
appartement,4.0,430000.0,88.2,6,lyon,69007
appartement,4.0,574400.0,81.0,1,tassin la demi lune,69160
appartement,4.0,277000.0,77.0,1,vaulx en velin,69120
appartement,5.0,279000.0,107.0,4,bron,69500
appartement,5.0,417000.0,110.0,RDC,decines charpieu,69150
appartement,6.0,1180000.0,245.0,RDC,lentilly,69210
appartement,6.0,1180000.0,199.0,4,lyon,69007
maison,4.0,285000.0,90.0,MAISON,lancie,69220
maison,5.0,322578.0,103.0,MAISON,feyzin,69320
maison,5.0,299000.0,120.0,MAISON,fleurie,69820
maison,6.0,749000.0,143.0,MAISON,charly,69390
maison,6.0,550000.0,149.0,MAISON,sainte consorce,69280
maison,7.0,230000.0,180.0,MAISON,savigny,69210
maison,8.0,250000.0,224.0,MAISON,deux grosnes,69860
appartement,2.0,200000.0,39.0,RDC,saint cyr au mont d'or,69450
appartement,2.0,146700.0,51.0,1,venissieux,69200
appartement,2.0,199000.0,45.0,4,lyon,69004
appartement,2.0,149900.0,43.5,1,oullins pierre benite,69310
appartement,2.0,165000.0,55.0,RDC,villefranche sur saone,69400
appartement,2.0,199281.0,52.0,6,lyon,69005
appartement,3.0,250000.0,70.2,1,francheville,69340
appartement,3.0,475000.0,70.0,12,lyon,69002
appartement,3.0,379000.0,68.5,RDC,chasselay,69380
appartement,3.0,340000.0,74.3,1,lyon,69009
appartement,3.0,448000.0,85.4,2,lyon,69110
appartement,5.0,450000.0,119.0,13,lyon,69110
maison,4.0,263450.0,80.0,MAISON,ternay,69360
maison,4.0,399000.0,79.0,MAISON,chassieu,69680
maison,4.0,395000.0,132.0,MAISON,fontaines sur saone,69270
maison,4.0,420000.0,126.7,MAISON,venissieux,69200
maison,4.0,260000.0,95.0,MAISON,deux grosnes,69860
appartement,2.0,148000.0,37.0,RDC,bron,69500
appartement,2.0,150000.0,39.0,RDC,venissieux,69200
appartement,3.0,244000.0,61.0,3,lyon,69003
appartement,3.0,254520.0,60.9,1,villeurbanne,69100
appartement,3.0,349000.0,64.0,1,craponne,69290
appartement,3.0,360000.0,60.0,2,lyon,69005
appartement,3.0,309000.0,57.0,1,saint romain au mont d'or,69270
appartement,4.0,440000.0,92.6,2,lyon,69007
appartement,4.0,135000.0,81.0,1,vaulx en velin,69120
appartement,4.0,203000.0,74.5,RDC,vaulx en velin,69120
appartement,5.0,680000.0,121.0,5,lyon,69007
appartement,5.0,449000.0,121.0,2,caluire et cuire,69300
appartement,5.0,612500.0,131.0,RDC,craponne,69290
appartement,6.0,1299000.0,134.0,RDC,lyon,69006
maison,4.0,399000.0,79.0,MAISON,meyzieu,69330
maison,4.0,529000.0,69.0,MAISON,lyon,69005
maison,5.0,259900.0,105.0,MAISON,millery,69390
maison,5.0,360000.0,95.0,MAISON,craponne,69290
maison,6.0,497000.0,143.0,MAISON,millery,69390
maison,6.0,895000.0,185.0,MAISON,saint pierre de chandieu,69780
appartement,2.0,200900.0,42.0,3,villefranche sur saone,69400
appartement,2.0,155000.0,48.0,5,sathonay camp,69580
appartement,3.0,278168.0,62.0,2,limas,69400
appartement,3.0,270000.0,61.0,RDC,brignais,69530
appartement,3.0,260000.0,62.0,RDC,civrieux d'azergues,69380
maison,5.0,515000.0,141.1,MAISON,bully,69210
maison,5.0,435000.0,104.7,MAISON,genas,69740
maison,6.0,379000.0,199.4,MAISON,échalas,69700
appartement,3.0,225000.0,59.0,1,caluire et cuire,69300
appartement,3.0,388000.0,69.7,1,lyon,69007
appartement,3.0,162000.0,57.0,2,villefranche sur saone,69400
appartement,4.0,286080.0,84.0,3,saint fons,69190
appartement,4.0,276000.0,70.0,14,lyon,69003
appartement,4.0,530000.0,110.0,1,charbonnieres les bains,69260
appartement,4.0,195000.0,95.0,3,lyon,69009
maison,4.0,359600.0,92.0,MAISON,feyzin,69320
maison,5.0,350000.0,102.9,MAISON,bron,69500
maison,5.0,295000.0,100.0,MAISON,vaulx en velin,69120
maison,6.0,895000.0,244.0,MAISON,lissieu,69380
maison,6.0,1295000.0,213.0,MAISON,lyon,69008
appartement,2.0,160000.0,36.4,4,vaulx en velin,69120
appartement,2.0,170000.0,44.2,1,tassin la demi lune,69160
appartement,2.0,181000.0,44.0,1,belleville en beaujolais,69220
appartement,3.0,210000.0,88.0,1,serezin du rhone,69360
appartement,3.0,235000.0,64.1,RDC,la mulatiere,69350
appartement,3.0,1080000.0,110.0,2,saint didier au mont d'or,69370
appartement,3.0,264900.0,64.1,4,venissieux,69200
appartement,4.0,215000.0,80.3,1,saint priest,69800
maison,4.0,440000.0,95.5,MAISON,pommiers,69480
maison,4.0,250000.0,90.0,MAISON,regnie durette,69430
appartement,2.0,330000.0,58.0,4,lyon,69002
appartement,3.0,290000.0,57.0,6,villeurbanne,69100
appartement,3.0,99000.0,60.0,RDC,villefranche sur saone,69400
appartement,3.0,220000.0,52.4,1,lyon,69008
appartement,3.0,220000.0,67.3,5,villeurbanne,69100
appartement,3.0,369000.0,61.0,1,sathonay village,69580
appartement,3.0,425000.0,75.0,4,lyon,69006
appartement,3.0,329000.0,65.0,2,fontaines sur saone,69270
appartement,3.0,220000.0,58.2,3,villeurbanne,69100
appartement,4.0,149900.0,78.0,3,feyzin,69320
appartement,4.0,690500.0,103.0,3,lyon,69005
maison,5.0,365000.0,105.7,MAISON,vaulx en velin,69120
maison,5.0,599000.0,190.0,MAISON,solaize,69360
maison,6.0,405000.0,115.0,MAISON,lucenay,69480
maison,8.0,650000.0,235.0,MAISON,communay,69360
maison,12.0,1390000.0,500.0,MAISON,lyon,69009
appartement,2.0,225000.0,47.6,2,lyon,69003
appartement,2.0,220000.0,53.0,RDC,saint germain au mont d'or,69650
appartement,3.0,390000.0,60.1,8,lyon,69002
appartement,3.0,269000.0,65.3,5,venissieux,69200
appartement,4.0,478000.0,76.3,7,lyon,69002
appartement,4.0,359000.0,105.4,RDC,chabaniere,69440
maison,4.0,259000.0,94.0,MAISON,brussieu,69690
maison,5.0,590000.0,140.0,MAISON,sathonay camp,69580
maison,5.0,1250000.0,126.9,MAISON,saint cyr au mont d'or,69450
maison,6.0,689000.0,261.1,MAISON,chatillon,69380
appartement,2.0,224000.0,49.0,RDC,lyon,69007
appartement,3.0,125000.0,63.0,1,villefranche sur saone,69400
appartement,3.0,319000.0,72.0,2,saint priest,69800
appartement,3.0,205000.0,61.1,RDC,vaulx en velin,69120
appartement,3.0,474000.0,73.0,8,lyon,69002
appartement,3.0,250000.0,52.0,6,lyon,69003
appartement,4.0,384800.0,81.0,3,decines charpieu,69150
appartement,5.0,335000.0,96.0,3,saint fons,69190
appartement,6.0,960000.0,180.0,RDC,lyon,69001
maison,4.0,350000.0,94.0,MAISON,grezieu la varenne,69290
maison,4.0,399000.0,69.0,MAISON,saint bonnet de mure,69720
maison,5.0,689000.0,141.0,MAISON,marcy,69280
maison,5.0,317000.0,101.0,MAISON,villefranche sur saone,69400
maison,6.0,456250.0,125.0,MAISON,simandres,69360
maison,6.0,550000.0,202.0,MAISON,saint priest,69800
maison,8.0,849000.0,273.0,MAISON,lentilly,69210
maison,10.0,2390000.0,320.0,MAISON,caluire et cuire,69300
appartement,2.0,225000.0,42.0,1,saint bonnet de mure,69720
appartement,2.0,127000.0,75.6,1,villefranche sur saone,69400
appartement,3.0,259000.0,59.0,1,feyzin,69320
appartement,3.0,339000.0,80.0,3,écully,69130
appartement,4.0,522500.0,101.8,1,lyon,69001
appartement,4.0,209000.0,87.3,RDC,ternay,69360
maison,3.0,429000.0,110.0,MAISON,francheville,69340
maison,4.0,325000.0,117.0,MAISON,charentay,69220
maison,6.0,374400.0,137.8,MAISON,saint cyr sur le rhone,69560
appartement,2.0,255000.0,38.0,8,villeurbanne,69100
appartement,3.0,550000.0,89.9,4,lyon,69001
appartement,3.0,103101.0,80.0,5,lyon,69006
appartement,4.0,660000.0,113.0,6,lyon,69003
appartement,4.0,290000.0,77.0,7,rillieux la pape,69140
appartement,4.0,324000.0,85.0,RDC,meyzieu,69330
appartement,4.0,579000.0,144.0,3,saint didier au mont d'or,69370
appartement,5.0,698000.0,115.0,2,lyon,69006
maison,5.0,599000.0,154.0,MAISON,lyon,69005
maison,5.0,420000.0,123.0,MAISON,montanay,69250
maison,5.0,299000.0,130.0,MAISON,échalas,69700
maison,6.0,1050000.0,180.0,MAISON,poleymieux au mont d'or,69250
maison,10.0,1150000.0,330.0,MAISON,cogny,69640
maison,11.0,750000.0,245.0,MAISON,oullins pierre benite,69600
appartement,2.0,350000.0,84.0,1,fontaines sur saone,69270
appartement,2.0,259000.0,62.2,3,lyon,69004
appartement,2.0,268000.0,59.0,4,caluire et cuire,69300
appartement,3.0,390000.0,70.2,RDC,écully,69130
appartement,3.0,216000.0,78.4,2,couzon au mont d'or,69270
appartement,3.0,219500.0,62.9,1,meyzieu,69330
appartement,4.0,491000.0,76.3,9,lyon,69002
appartement,4.0,380000.0,163.0,1,jonage,69330
appartement,4.0,290000.0,104.1,6,lyon,69008
maison,3.0,269579.0,50.0,MAISON,montanay,69250
maison,4.0,419000.0,117.0,MAISON,tassin la demi lune,69160
maison,4.0,375000.0,107.3,MAISON,villeurbanne,69100
maison,4.0,436000.0,87.1,MAISON,brindas,69126
maison,6.0,395000.0,156.7,MAISON,vaugneray,69670
appartement,2.0,240000.0,50.0,RDC,lyon,69008
appartement,2.0,275000.0,60.0,RDC,lyon,69003
appartement,3.0,295000.0,61.5,RDC,genas,69740
appartement,3.0,260000.0,64.0,5,lyon,69003
appartement,3.0,471500.0,104.0,2,lyon,69008
appartement,4.0,450000.0,150.0,RDC,lyon,69006
appartement,4.0,245000.0,77.0,2,lyon,69110
appartement,5.0,245000.0,95.0,4,villefranche sur saone,69400
appartement,5.0,368400.0,97.0,5,vaulx en velin,69120
appartement,6.0,1134000.0,245.0,RDC,écully,69130
appartement,6.0,700000.0,156.5,RDC,lyon,69003
appartement,6.0,435000.0,145.0,4,lyon,69008
maison,4.0,345000.0,104.0,MAISON,loire sur rhone,69700
maison,5.0,280000.0,90.0,MAISON,fleurie,69820
maison,5.0,335000.0,150.0,MAISON,jonage,69330
appartement,2.0,244000.0,40.6,2,lyon,69005
appartement,2.0,205000.0,46.5,RDC,vaulx en velin,69210
appartement,3.0,275000.0,64.6,1,la mulatiere,69350
appartement,3.0,338000.0,65.0,RDC,vernay,69300
appartement,3.0,188800.0,64.6,RDC,l'arbresle,69210
maison,3.0,283300.0,64.0,MAISON,saint georges de reneins,69830
maison,4.0,145000.0,110.0,MAISON,sainte catherine,69440
appartement,3.0,194000.0,65.0,2,givors,69700
appartement,4.0,349194.0,83.0,RDC,rillieux la pape,69140
appartement,5.0,640000.0,181.3,RDC,oullins pierre benite,69600
appartement,6.0,100000.0,179.0,1,dardilly,69570
maison,5.0,434100.0,95.0,MAISON,brindas,69126
maison,5.0,350000.0,98.0,MAISON,genay,69730
maison,5.0,385000.0,100.0,MAISON,anse,69480
maison,8.0,469900.0,200.0,MAISON,thurins,69510
maison,10.0,1800000.0,371.0,MAISON,charbonnieres les bains,69260
appartement,3.0,278000.0,64.6,1,francheville,69340
appartement,3.0,265000.0,73.2,1,limas,69400
appartement,3.0,319000.0,62.0,RDC,chassieu,69680
appartement,4.0,240000.0,91.6,5,villefranche sur saone,69400
maison,3.0,217000.0,101.0,MAISON,val d'oingt,69620
maison,4.0,500000.0,90.0,MAISON,saint didier au mont d'or,69370
maison,4.0,400000.0,81.0,MAISON,saint romain au mont d'or,69270
maison,4.0,360000.0,90.6,MAISON,meyzieu,69330
maison,6.0,730000.0,159.6,MAISON,vernaison,69390
maison,6.0,595000.0,177.2,MAISON,lyon,69110
appartement,2.0,244000.0,47.0,RDC,écully,69130
appartement,3.0,325400.0,66.0,1,brindas,69126
appartement,3.0,279500.0,61.0,2,rillieux la pape,69140
appartement,3.0,338000.0,60.4,5,villeurbanne,69100
appartement,3.0,195000.0,63.5,1,givors,69700
appartement,4.0,308500.0,76.0,RDC,villeurbanne,69100
appartement,4.0,419000.0,102.0,1,longes,69660
appartement,4.0,190000.0,63.0,1,lyon,69009
appartement,4.0,499900.0,109.0,6,lyon,69007
