prix,type_de_bien,details,zone
280000,Maison à vendre,"7 pièces · 3 chambres · 138,4 m² · 275 m² de terrain",Légny (69620)
188825,Appartement à vendre - neuf,2 pièces · 1 chambre · 42 m² · 3ème étage,Le Centre  Vaulx-en-Velin (69120)
398000,Villa à vendre - neuf,"4 pièces · 3 chambres · 95,3 m² · dès le 30/06/2027",Les Hauts de Saint Bonnet  Saint-Bonnet-de-Mure (69720)
350000,Appartement à vendre,3 pièces · 2 chambres · 79 m² · Étage 3/5,La Villette  Lyon 3ème arrondissement (69003)
310000,Appartement à vendre,3 pièces · 2 chambres · 65 m² · Étage 2/7,Chavril  Sainte-Foy-lès-Lyon (69110)
179700,Appartement à vendre - neuf,"3 pièces · 61,2 m² · Étage 3/6 · dès le 31/12/2026",Moulin à Vent-Ernest Renan  Vénissieux (69200)
188000,Appartement à vendre - neuf,"2 pièces · 42,1 m² · Étage 1/3 · dès le 30/09/2028",Zone Industrielle  Neuville-sur-Saône (69250)
251900,Appartement à vendre - neuf,"3 pièces · 59,4 m² · Étage 1/3 · dès le 30/09/2028",Zone Industrielle  Neuville-sur-Saône (69250)
315000,Appartement à vendre - neuf,"4 pièces · 77,8 m² · Étage 1/3 · dès le 30/09/2028",Zone Industrielle  Neuville-sur-Saône (69250)
272300,Appartement à vendre - neuf,"2 pièces · 40,3 m² · 6 étages · dès le 31/12/2026",Moulin à Vent-Ernest Renan  Vénissieux (69200)
550000,Appartement à vendre,3 pièces · 2 chambres · 94 m² · RDC/2,Ouest  Ferney-Voltaire (01210)
360000,Appartement à vendre,3 pièces · 2 chambres · 64 m² · RDC/2,Montchat  Lyon 3ème arrondissement (69003)
235500,Appartement à vendre - neuf,"2 pièces · 45,3 m² · Étage 1/4 · dès le 31/03/2028",Le Bourg  Fontaines-sur-Saône (69270)
512000,Appartement à vendre - neuf,5 pièces · 4 chambres · 90 m² · dès le 31/12/2027,Le Bourg  Fontaines-sur-Saône (69270)
315000,Appartement à vendre - neuf,3 pièces · 2 chambres · 66 m² · dès le 31/12/2027,Le Bourg  Fontaines-sur-Saône (69270)
234000,Appartement à vendre - neuf,2 pièces · 1 chambre · 40 m² · dès le 31/12/2027,Le Bourg  Fontaines-sur-Saône (69270)
399000,Appartement à vendre - neuf,4 pièces · 3 chambres · 85 m² · dès le 31/12/2027,Le Bourg  Fontaines-sur-Saône (69270)
259000,Appartement à vendre - neuf,"4 pièces · 88,2 m² · Étage 1/6 · dès le 31/12/2026",Moulin à Vent-Ernest Renan  Vénissieux (69200)
229000,Appartement à vendre - neuf,1 pièce · 35 m² · 8ème étage · dès le 01/01/2027,Clément  Villeurbanne (69100)
228000,Appartement à vendre,2 pièces · 1 chambre · 51 m² · Étage 1/2,Montchat  Lyon 3ème arrondissement (69003)
155000,Appartement à vendre,3 pièces · 2 chambres · 65 m² · Étage 9/10,Bonnevay - La Soie - Les Brosses  Villeurbanne (69100)
224583,Appartement à vendre - neuf,"3 pièces · 2 chambres · 61,6 m² · 2ème étage",Le Centre  Vaulx-en-Velin (69120)
390000,Appartement à vendre - neuf,"3 pièces · 60,3 m² · RDC",Basses-Barolles  Saint-Genis-Laval (69230)
248000,Appartement à vendre - neuf,"2 pièces · 42,3 m² · Étage 2/3 · dès le 31/12/2028",Collonges-au-Mont-d'Or (69660)
187000,Appartement à vendre - neuf,"2 pièces · 1 chambre · 44,4 m² · dès le 31/12/2026",Centre Ville Ouest  Voiron (38500)
185000,Appartement à vendre - neuf,3 pièces · 58 m² · 1er étage,Canal  Givors (69700)
249900,Duplex à vendre,"4 pièces · 3 chambres · 76,1 m² · Étage 2/2",Centre-Max Barel-Centre Nord  Vénissieux (69200)
178400,Appartement à vendre - neuf,"1 pièce · 35,9 m² · Étage 2/5 · dès le 30/06/2027",Moulin à Vent-Ernest Renan  Vénissieux (69200)
255924,Appartement à vendre - neuf,3 pièces · 62 m²,Le Mas  Vaulx-en-Velin (69120)
365000,Appartement à vendre - neuf,3 pièces · 2 chambres · 60 m² · dès le 31/03/2028,Saint Louis  Lyon 7ème arrondissement (69007)
338000,Appartement à vendre - neuf,"3 pièces · 59,3 m² · Étage 1/3 · dès le 31/12/2028",Collonges-au-Mont-d'Or (69660)
207400,Appartement à vendre - neuf,"2 pièces · 40,2 m² · Étage 1/2 · dès le 31/03/2028",Saint-Romain-au-Mont-d'Or (69270)
284000,Appartement à vendre,2 pièces · 1 chambre · 47 m² · Étage 1/2,Monplaisir Lumière  Lyon 8ème arrondissement (69008)
431000,Appartement à vendre - neuf,"3 pièces · 69,8 m² · RDC · dès le 31/12/2026",Montchat  Lyon 3ème arrondissement (69003)
288000,Appartement à vendre - neuf,3 pièces · 66 m² · 1er étage · dès le 31/12/2027,Brindas (69126)
200000,Appartement à vendre - neuf,3 pièces · 62 m² · 4ème étage · dès le 31/12/2027,Leclerc  Rillieux-la-Pape (69140)
339900,Appartement à vendre,3 pièces · 2 chambres · 78 m² · Étage 1/4,Préfecture Liberté  Lyon 3ème arrondissement (69003)
327000,Villa à vendre - neuf,"5 pièces · 4 chambres · 110,8 m² · dès le 31/03/2027",Tignieu-Jameyzieu (38230)
