type_clean;pieces;chambres;prix;neuf_flag;surface;terrain;etage_clean;ville;code_postal
appartement;2;1;203431;1;21.0;0.0;1;Vénissieux;69200
appartement;2;1;235000;0;38.9;0.0;6;Lyon;69007
appartement;2;1;454000;1;92.0;0.0;1;Toussieu;69780
appartement;2;1;118000;0;36.5;0.0;1;Saint-Priest;69800
appartement;2;1;133473;0;76.1;0.0;RDC;Tarare;69170
appartement;2;1;202000;1;26.0;0.0;1;Caluire-et-Cuire;69300
appartement;2;1;200000;0;39.0;0.0;RDC;Saint-Cyr-au-Mont-d'Or;69450
appartement;2;1;149000;0;43.0;0.0;1;Meyzieu;69330
appartement;2;1;350000;0;84.0;0.0;1;Fontaines-sur-Saône;69270
appartement;2;1;54000;0;9.0;0.0;7;Lyon;69006
appartement;2;1;120000;0;24.0;0.0;1;Saint-Pierre-de-Chandieu;69780
appartement;2;1;450000;0;75.6;0.0;1;Lyon;69006
appartement;2;1;100000;0;37.8;0.0;1;Vindry-sur-Turdine;69490
appartement;2;1;185000;0;51.0;0.0;2;Lyon;69008
appartement;2;1;258000;1;49.0;0.0;1;Brindas;69126
appartement;2;1;215000;0;44.0;0.0;RDC;Lentilly;69210
appartement;2;1;319900;1;45.3;0.0;1;Saint-Cyr-au-Mont-d'Or;69450
appartement;2;1;175000;0;40.3;0.0;1;Bron;69500
appartement;2;1;174000;0;41.0;0.0;1;Irigny;69540
appartement;2;1;238200;1;44.0;0.0;1;Neuville-sur-Saône;69250
appartement;2;1;264000;0;47.0;0.0;7;Vénissieux;69200
appartement;2;1;92000;0;33.1;0.0;1;Décines-Charpieu;69150
appartement;2;1;110000;0;29.0;0.0;2;Villeurbanne;69100
appartement;2;1;324000;1;52.7;0.0;1;Lyon;69007
appartement;2;1;255000;0;43.6;0.0;RDC;Lyon;69006
appartement;2;1;178000;0;41.3;0.0;RDC;Lyon;69008
appartement;2;1;365000;0;75.6;0.0;1;Lyon;69001
appartement;2;1;135000;1;35.0;0.0;1;Rillieux-la-Pape;69140
appartement;2;1;159900;0;45.0;0.0;3;Villeurbanne;69100
appartement;2;1;250000;0;42.6;0.0;7;Lyon;69007
appartement;2;1;242000;0;65.0;0.0;2;Villeurbanne;69100
appartement;2;1;135000;0;36.1;0.0;RDC;Vernay;69300
appartement;2;1;175000;0;28.0;0.0;4;Lyon;69001
appartement;2;1;260000;0;47.2;0.0;7;Lyon;69004
appartement;2;1;225000;0;50.0;0.0;2;Lyon;69003
appartement;2;1;195064;0;49.0;0.0;RDC;Villeurbanne;69100
appartement;2;1;235000;0;43.4;0.0;2;Lyon;69007
appartement;2;1;236000;1;45.5;0.0;RDC;Lentilly;69210
appartement;2;1;230000;0;50.0;0.0;2;Bron;69500
